Site,Weather,Smoothing,Scaler_win,t_0,Scaler_rto
Arboleda,site,TRUE,90,10/22/2016,0.000380327
Arboleda,site,TRUE,90,10/29/2016,0.000375977
Arboleda,site,TRUE,90,11/5/2016,0.000372348
Arboleda,site,TRUE,90,11/12/2016,0.000369247
Arboleda,site,TRUE,90,11/19/2016,0.000366586
Arboleda,site,TRUE,90,11/26/2016,0.00036398
Arboleda,site,TRUE,90,12/3/2016,0.000361204
Arboleda,site,TRUE,90,12/10/2016,0.000358828
Arboleda,site,TRUE,90,12/17/2016,0.0003581
Arboleda,site,TRUE,90,12/24/2016,0.000358982
Arboleda,site,TRUE,90,12/31/2016,0.000360788
Arboleda,site,TRUE,90,1/7/2017,0.000362189
Arboleda,site,TRUE,90,1/14/2017,0.000362799
Arboleda,site,TRUE,90,1/21/2017,0.000363085
Arboleda,site,TRUE,90,1/28/2017,0.0003625
Arboleda,site,TRUE,90,2/4/2017,0.000361609
Arboleda,site,TRUE,90,2/11/2017,0.000359072
Arboleda,site,TRUE,90,2/18/2017,0.000357297
Arboleda,site,TRUE,90,2/25/2017,0.000356853
Arboleda,site,TRUE,90,3/4/2017,0.000358326
Arboleda,site,TRUE,90,3/11/2017,0.000359929
Arboleda,site,TRUE,90,3/18/2017,0.000360238
Arboleda,site,TRUE,90,3/25/2017,0.000358396
Arboleda,site,TRUE,90,4/1/2017,0.000356022
Arboleda,site,TRUE,90,4/8/2017,0.000354526
Arboleda,site,TRUE,90,4/15/2017,0.000353636
Arboleda,site,TRUE,90,4/22/2017,0.000353103
Arboleda,site,TRUE,90,4/29/2017,0.000353253
Arboleda,site,TRUE,90,5/6/2017,0.000352673
Arboleda,site,TRUE,90,5/13/2017,0.000353661
Arboleda,site,TRUE,90,5/20/2017,0.000354608
Arboleda,site,TRUE,90,5/27/2017,0.000359053
Arboleda,site,TRUE,90,6/3/2017,0.000362358
Arboleda,site,TRUE,90,6/10/2017,0.000365876
Arboleda,site,TRUE,90,6/17/2017,0.000369504
Arboleda,site,TRUE,90,6/24/2017,0.000373474
Arboleda,site,TRUE,90,7/1/2017,0.000375197
Arboleda,site,TRUE,90,7/8/2017,0.000373737
Arboleda,site,TRUE,90,7/15/2017,0.000370822
Arboleda,site,TRUE,90,7/22/2017,0.000368297
Arboleda,site,TRUE,90,7/29/2017,0.00036732
Arboleda,site,TRUE,90,8/5/2017,0.000366037
Arboleda,site,TRUE,90,8/12/2017,0.000365536
Arboleda,site,TRUE,90,8/19/2017,0.000365457
Arboleda,site,TRUE,90,8/26/2017,0.000364688
Arboleda,site,TRUE,90,9/2/2017,0.000362893
Arboleda,site,TRUE,90,9/9/2017,0.00035958
Arboleda,site,TRUE,90,9/16/2017,0.000357185
Arboleda,site,TRUE,90,9/23/2017,0.000356143
Arboleda,site,TRUE,90,9/30/2017,0.000356502
Arboleda,site,TRUE,90,10/7/2017,0.000357725
Arboleda,site,TRUE,90,10/14/2017,0.000358029
Arboleda,site,TRUE,90,10/21/2017,0.000357092
Arboleda,site,TRUE,90,10/28/2017,0.000358208
Arboleda,site,TRUE,90,11/4/2017,0.00036045
Arboleda,site,TRUE,90,11/11/2017,0.00036377
Arboleda,site,TRUE,90,11/18/2017,0.000365988
Arboleda,site,TRUE,90,11/25/2017,0.000368738
Arboleda,site,TRUE,90,12/2/2017,0.000373541
Arboleda,site,TRUE,90,12/9/2017,0.000379359
Arboleda,site,TRUE,90,12/16/2017,0.000386341
Arboleda,site,TRUE,90,12/23/2017,0.000392527
Arboleda,site,TRUE,90,12/30/2017,0.000397222
Arboleda,site,TRUE,90,1/6/2018,0.000400261
Arboleda,site,TRUE,90,1/13/2018,0.000402151
Arboleda,site,TRUE,90,1/20/2018,0.000403791
Arboleda,site,TRUE,90,1/27/2018,0.00040602
Arboleda,site,TRUE,90,2/3/2018,0.000410149
Arboleda,site,TRUE,90,2/10/2018,0.000415075
Arboleda,site,TRUE,90,2/17/2018,0.000419826
Arboleda,site,TRUE,90,2/24/2018,0.000423038
Arboleda,site,TRUE,90,3/3/2018,0.000424878
Arboleda,site,TRUE,90,3/10/2018,0.000425892
Arboleda,site,TRUE,90,3/17/2018,0.000427769
Arboleda,site,TRUE,90,3/24/2018,0.000430653
Arboleda,site,TRUE,90,3/31/2018,0.000433804
Arboleda,site,TRUE,90,4/7/2018,0.000436432
Arboleda,site,TRUE,90,4/14/2018,0.000439344
Arboleda,site,TRUE,90,4/21/2018,0.000443103
Arboleda,site,TRUE,90,4/28/2018,0.000447249
Arboleda,site,TRUE,90,5/5/2018,0.000451885
Arboleda,site,TRUE,90,5/12/2018,0.000455328
Arboleda,site,TRUE,90,5/19/2018,0.000457651
Arboleda,site,TRUE,90,5/26/2018,0.000459523
Arboleda,site,TRUE,90,6/2/2018,0.000460019
Arboleda,site,TRUE,90,6/9/2018,0.000460108
Arboleda,site,TRUE,90,6/16/2018,0.00045916
Arboleda,site,TRUE,90,6/23/2018,0.000458234
Arboleda,site,TRUE,90,6/30/2018,0.0004554
Arboleda,site,TRUE,90,7/7/2018,0.000451045
Arboleda,site,TRUE,90,7/14/2018,0.000445813
Arboleda,site,TRUE,90,7/21/2018,0.000441115
Arboleda,site,TRUE,90,7/28/2018,0.000437704
Arboleda,site,TRUE,90,8/4/2018,0.000435123
Arboleda,site,TRUE,90,8/11/2018,0.000432578
Arboleda,site,TRUE,90,8/18/2018,0.000428596
Arboleda,site,TRUE,90,8/25/2018,0.000423966
Arboleda,site,TRUE,90,9/1/2018,0.000418788
Arboleda,site,TRUE,90,9/8/2018,0.000412779
Arboleda,site,TRUE,90,9/15/2018,0.000407691
Arboleda,site,TRUE,90,9/22/2018,0.000403075
Arboleda,site,TRUE,90,9/29/2018,0.00039998
Arboleda,site,TRUE,90,10/6/2018,0.000397963
Arboleda,site,TRUE,90,10/13/2018,0.000397706
Arboleda,site,TRUE,90,10/20/2018,0.000397794
Arboleda,site,TRUE,90,10/27/2018,0.000396915
Arboleda,site,TRUE,90,11/3/2018,0.000395216
Arboleda,site,TRUE,90,11/10/2018,0.000393996
Arboleda,site,TRUE,90,11/17/2018,0.000392686
Arboleda,site,TRUE,90,11/24/2018,0.000391817
Arboleda,site,TRUE,90,12/1/2018,0.000391298
Arboleda,site,TRUE,90,12/8/2018,0.000391378
Arboleda,site,TRUE,90,12/15/2018,0.000390836
Arboleda,site,TRUE,90,12/22/2018,0.000389374
Arboleda,site,TRUE,90,12/29/2018,0.000387187
Arboleda,site,TRUE,90,1/5/2019,0.000386056
Arboleda,site,TRUE,90,1/12/2019,0.000386025
Arboleda,site,TRUE,90,1/19/2019,0.000387404
Arboleda,site,TRUE,90,1/26/2019,0.000389015
Arboleda,site,TRUE,90,2/2/2019,0.000391113
Arboleda,site,TRUE,90,2/9/2019,0.000393803
Arboleda,site,TRUE,90,2/16/2019,0.000396349
Arboleda,site,TRUE,90,2/23/2019,0.000398076
Arboleda,site,TRUE,90,3/2/2019,0.000400245
Arboleda,site,TRUE,90,3/9/2019,0.000404021
Arboleda,site,TRUE,90,3/16/2019,0.000408294
Arboleda,site,TRUE,90,3/23/2019,0.000412445
Arboleda,site,TRUE,90,3/30/2019,0.000415281
Arboleda,site,TRUE,90,4/6/2019,0.000416851
Arboleda,site,TRUE,90,4/13/2019,0.000416521
Arboleda,site,TRUE,90,4/20/2019,0.000414513
Arboleda,site,TRUE,90,4/27/2019,0.000413207
Arboleda,site,TRUE,90,5/4/2019,0.000412922
Arboleda,site,TRUE,90,5/11/2019,0.000410055
Arboleda,site,TRUE,90,5/18/2019,0.000407523
Arboleda,site,TRUE,90,5/25/2019,0.000404375
Playa,site,TRUE,90,12/6/2014,0.000734565
Playa,site,TRUE,90,12/13/2014,0.000747076
Playa,site,TRUE,90,12/20/2014,0.000754068
Playa,site,TRUE,90,12/27/2014,0.000759184
Playa,site,TRUE,90,1/3/2015,0.000764161
Playa,site,TRUE,90,1/10/2015,0.000770215
Playa,site,TRUE,90,1/17/2015,0.000774061
Playa,site,TRUE,90,1/24/2015,0.000772931
Playa,site,TRUE,90,1/31/2015,0.000770154
Playa,site,TRUE,90,2/7/2015,0.000766725
Playa,site,TRUE,90,2/14/2015,0.000764338
Playa,site,TRUE,90,2/21/2015,0.00075988
Playa,site,TRUE,90,2/28/2015,0.000755105
Playa,site,TRUE,90,3/7/2015,0.000752631
Playa,site,TRUE,90,3/14/2015,0.000752985
Playa,site,TRUE,90,3/21/2015,0.000753006
Playa,site,TRUE,90,3/28/2015,0.000753031
Playa,site,TRUE,90,4/4/2015,0.000750909
Playa,site,TRUE,90,4/11/2015,0.000748444
Playa,site,TRUE,90,4/18/2015,0.000747273
Playa,site,TRUE,90,4/25/2015,0.000749433
Playa,site,TRUE,90,5/2/2015,0.000754698
Playa,site,TRUE,90,5/9/2015,0.000754607
Playa,site,TRUE,90,5/16/2015,0.00075049
Playa,site,TRUE,90,5/23/2015,0.000745395
Playa,site,TRUE,90,5/30/2015,0.000740722
Playa,site,TRUE,90,6/6/2015,0.000734439
Playa,site,TRUE,90,6/13/2015,0.000727181
Playa,site,TRUE,90,6/20/2015,0.000724454
Playa,site,TRUE,90,6/27/2015,0.000725825
Playa,site,TRUE,90,7/4/2015,0.00072526
Playa,site,TRUE,90,7/11/2015,0.000721996
Playa,site,TRUE,90,7/18/2015,0.000719324
Playa,site,TRUE,90,7/25/2015,0.000719657
Playa,site,TRUE,90,8/1/2015,0.000722958
Playa,site,TRUE,90,8/8/2015,0.000728181
Playa,site,TRUE,90,8/15/2015,0.000733781
Playa,site,TRUE,90,8/22/2015,0.000739598
Playa,site,TRUE,90,8/29/2015,0.000745381
Playa,site,TRUE,90,9/5/2015,0.000752669
Playa,site,TRUE,90,9/12/2015,0.000763861
Playa,site,TRUE,90,9/19/2015,0.000772361
Playa,site,TRUE,90,9/26/2015,0.000779474
Playa,site,TRUE,90,10/3/2015,0.000787524
Playa,site,TRUE,90,10/10/2015,0.00079684
Playa,site,TRUE,90,10/17/2015,0.000806389
Playa,site,TRUE,90,10/24/2015,0.000811427
Playa,site,TRUE,90,10/31/2015,0.000812402
Playa,site,TRUE,90,11/7/2015,0.000810422
Playa,site,TRUE,90,11/14/2015,0.000804679
