Site,Weather,Scaler_win,Forecast_win,Trap_smoothing_flag,RMSE_mu,RMSE_sig
Playa,site,17,52,FALSE,8.055120734,1.657979508
Playa,site,17,80,FALSE,8.154999931,1.652764662
Playa,site,17,150,FALSE,8.125028934,1.686658972
Playa,site,21,3,FALSE,5.779037523,4.052025333
Playa,site,21,4,FALSE,5.945896511,3.865712043
Playa,site,21,8,FALSE,6.368934494,3.462046838
Playa,site,21,17,FALSE,6.942796033,2.996607021
Playa,site,21,21,FALSE,7.140015749,2.779196033
Playa,site,21,30,FALSE,7.512019459,2.276735354
Playa,site,21,34,FALSE,7.641504536,2.07254422
Playa,site,21,52,FALSE,8.016058283,1.406334136
Playa,site,21,80,FALSE,8.11488505,1.408401958
Playa,site,21,150,FALSE,8.070141813,1.361334088
Playa,site,26,3,FALSE,5.756213449,3.986762727
Playa,site,26,4,FALSE,5.92595338,3.803357705
Playa,site,26,8,FALSE,6.362031582,3.395303522
Playa,site,26,17,FALSE,6.943676492,2.8930404
Playa,site,26,21,FALSE,7.13292348,2.676995197
Playa,site,26,30,FALSE,7.493350817,2.139398212
Playa,site,26,34,FALSE,7.615102019,1.908503452
Playa,site,26,52,FALSE,7.982955167,1.206327448
Playa,site,26,80,FALSE,8.081687616,1.236440308
Playa,site,26,150,FALSE,8.023669,1.120827204
La_Margarita,site,4,3,FALSE,0.69285627,0.674557619
La_Margarita,site,4,4,FALSE,0.723688038,0.665522257
La_Margarita,site,4,8,FALSE,0.797107411,0.644787782
La_Margarita,site,4,17,FALSE,0.926608725,0.607346926
La_Margarita,site,4,21,FALSE,0.964806185,0.597559325
La_Margarita,site,4,30,FALSE,1.043551691,0.60483051
La_Margarita,site,4,34,FALSE,1.07991381,0.614198523
La_Margarita,site,4,52,FALSE,1.128747228,0.600987128
La_Margarita,site,4,80,FALSE,1.101312682,0.48435953
La_Margarita,site,4,150,FALSE,1.067172417,0.291463356
La_Margarita,site,8,3,FALSE,0.663954175,0.68356761
La_Margarita,site,8,4,FALSE,0.698302019,0.667491358
La_Margarita,site,8,8,FALSE,0.782904273,0.647738529
La_Margarita,site,8,17,FALSE,0.899290447,0.612072044
La_Margarita,site,8,21,FALSE,0.934391562,0.605373136
La_Margarita,site,8,30,FALSE,1.022253347,0.607699495
La_Margarita,site,8,34,FALSE,1.053509225,0.609623407
La_Margarita,site,8,52,FALSE,1.096840881,0.566434094
La_Margarita,site,8,80,FALSE,1.049743123,0.426664644
La_Margarita,site,8,150,FALSE,1.027727106,0.240838432
La_Margarita,site,13,3,FALSE,0.682830901,0.698036855
La_Margarita,site,13,4,FALSE,0.711820072,0.683912969
La_Margarita,site,13,8,FALSE,0.782291385,0.661051351
La_Margarita,site,13,17,FALSE,0.893025709,0.625351749
La_Margarita,site,13,21,FALSE,0.93332585,0.623551339
La_Margarita,site,13,30,FALSE,1.017172372,0.629972663
