dist	t_0	RMSE	Avg_trap	wk1_abs_err	wk2_abs_err	wk3_abs_err	wk4_abs_err
negbin	2017-07-06	0.8128074358292042	10.57	0.12327243073097804	0.47895735144866514	1.2204346692267194	0.9531876480638051
negbin	2017-07-13	1.4574845903461484	11.350000000000001	0.9803911855042298	2.11794316206473	1.7407803894242804	0.1409923608946091
negbin	2017-07-20	1.331097086168821	11.790000000000001	1.8492026026402435	1.5315083699682326	0.32678318890009805	1.10246197475767
negbin	2017-07-27	1.3104921221755224	11.845	1.578164758889443	0.13306889958244206	1.131971496612044	1.7549608547650433
negbin	2017-08-03	1.0982951601930717	12.025	0.6399972230637268	0.2392611441873509	1.4945744052957988	1.4575369779191494
negbin	2017-08-10	2.1231274834170435	11.84	0.016192804415606332	0.783102393894838	1.1584988791711393	4.00937027774733
negbin	2017-08-17	2.1647335144599955	12.015	0.3840121175493003	0.7370545453285882	3.666657503037854	2.1469030720335933
negbin	2017-08-24	2.4317550579130467	11.915000000000003	0.6552131269273325	3.3216121438719206	1.7440917588848102	3.0248079455260495
negbin	2017-08-31	2.4655170662703476	11.39	2.9314073441231088	1.2414447118097236	2.7160685369050874	2.608397080479964
negbin	2017-09-07	1.538162021153598	11.985	0.9076162517843649	2.1360953646456835	2.016934482387091	0.0952588036421318
negbin	2017-09-14	1.4545644340188186	12.04	1.4267933899692515	1.1418065879446946	1.755318440478792	1.429134801700382
negbin	2017-09-21	3.709618026901083	12.185	0.5564291787962841	4.119935727773653	4.282061199681747	4.407440489923412
negbin	2017-09-28	3.7734326500398874	12.765	3.047633357235009	3.174182431141677	3.4922234448796026	5.039449184413055
negbin	2017-10-05	2.953318791188806	12.275	2.2785476688030393	2.6992974528426448	4.308498484242184	1.9614336906731982
negbin	2017-10-12	2.0001301679977312	12.209999999999999	1.3833725122607081	3.1345062451494776	1.0576260123793997	1.7733192225646803
negbin	2017-10-19	0.9838558184909233	11.985	1.7938080713143876	0.3234587721270401	0.6312802882202675	0.38858887019540234
negbin	2017-10-26	0.8986573214279336	11.239999999999998	0.8425619965706712	0.11855495190218157	0.7762836576903887	1.379767231652231
negbin	2017-11-02	0.7108865510973372	11.285	0.03823798912154075	0.7678298187323556	1.1582093454865312	0.29827016579823784
negbin	2017-11-09	0.9529299260086218	10.505	0.6487169598729583	0.9702674000204787	0.6671097433562334	1.3509307325992168
negbin	2017-11-16	1.2150291860002258	10.12	1.4356820022992434	0.2804697034546333	1.580097557508422	1.126334467999408
negbin	2017-11-23	1.2829903749832974	10.225	0.38467811672263963	2.0611090059204713	1.398316286424981	0.48251547596531097
negbin	2017-11-30	1.7789533173134184	9.739999999999998	2.6370428841642877	1.7510257520621018	0.5153484931971661	1.5404639541303524
negbin	2017-12-07	1.4349958979261639	9.965	2.1665037213349123	0.8323789190559499	1.6014422110043913	0.5344555300736076
negbin	2017-12-14	0.7949781427163402	10.21	0.5677203919908624	1.3159620449805836	0.25003069073174267	0.6413915309445208
negbin	2017-12-21	0.9557466403734257	10.094999999999999	1.5626345212937487	0.4485315842871511	0.6537587837558814	0.7638054632956663
negbin	2017-12-28	0.6063055953164765	10.17	0.6490851702472362	0.5146603545473241	0.7322770217424601	0.49800544605315267
negbin	2018-01-04	0.991258375163809	10.25	0.5740451816939309	0.9674476836738499	0.8244792132004406	1.4089442150269988
negbin	2018-01-11	0.5226144461978581	9.955	0.41106030171771124	0.12260400370608338	0.9376417595686597	0.17125727674684832
negbin	2018-01-18	0.5437016444182828	9.790000000000001	0.1218855080645227	0.9697856737536039	0.18506290401808734	0.4391552163359709
negbin	2018-01-25	1.245199697107598	10.135000000000002	0.9684244150137999	0.23000559862594372	0.4828077833833131	2.231196397455367
negbin	2018-02-01	1.199930981903298	9.79	0.0632612368584855	0.3964806753308565	2.3095724184366873	0.5138227119566494
negbin	2018-02-08	1.4479673563017863	9.23	0.7625851863965227	2.594981595596966	0.7454229263677803	0.7178557463092679
negbin	2018-02-15	1.422984622251677	8.695	2.580612537182949	0.8744657440240236	0.6362055097212505	0.5201269898034626
negbin	2018-02-22	1.5845583963018606	7.23	0.6327571153266671	0.9348220071591911	0.8523776805348993	2.8359266180250815
negbin	2018-03-01	1.6459799146286425	6.67	1.2785886291718729	0.9768331460162978	2.847778879577917	0.3717029629554842
negbin	2018-03-08	1.2361808123474967	6.41	0.5963579397851086	2.3895986204772104	0.030608926700833372	0.21403443073338568
negbin	2018-03-15	1.3398214375844542	6.16	1.5783239871634551	0.9318289035793486	1.4010775162068496	1.3631052850098193
negbin	2018-03-22	1.7868305053350806	6.675	1.4591043898188394	1.9217469013192474	1.8245707957033597	1.902602863850401
negbin	2018-03-29	0.3512972258872979	6.775	0.053919774441955504	0.11067015784928991	0.6803562949396067	0.12489615561032164
negbin	2018-04-05	0.8777134568002385	7.28	0.39655771759102443	1.2352678705953855	0.4298236686181376	1.1016490037131978
negbin	2018-04-12	0.9460747559304992	7.61	1.2397173853747896	0.6800930033863919	1.2136000407372673	0.3286016243153549
