Year,Month,Day,Max_T (c),Min_T (c),Rain_mm,Avg_T (c),Rain_cm,Humidity (%)
2000,1,1,25.833333333333336,25.833333333333336,1.27,25.833333333333336,0.127,76.2008
2000,1,2,25.0,25.0,0.7619999999999999,25.0,0.07619999999999999,76.98769999999999
2000,1,3,24.444444444444446,24.444444444444446,11.937999999999999,24.444444444444446,1.1938,84.1455
2000,1,4,25.0,25.0,6.858,25.0,0.6858,84.1041
2000,1,5,25.27777777777778,25.27777777777778,1.5239999999999998,25.27777777777778,0.15239999999999998,85.24119999999999
2000,1,6,25.0,25.0,1.27,25.0,0.127,76.2709
2000,1,7,24.444444444444446,24.444444444444446,0.508,24.444444444444446,0.0508,75.858
2000,1,8,25.0,25.0,0.508,25.0,0.0508,77.5453025
2000,1,9,25.27777777777778,25.27777777777778,0.0,25.27777777777778,0.0,66.01780000000001
2000,1,10,24.722222222222225,24.722222222222225,1.27,24.722222222222225,0.127,74.37075
2000,1,11,24.444444444444446,24.444444444444446,1.27,24.444444444444446,0.127,73.82050000000001
2000,1,12,25.0,25.0,0.0,25.0,0.0,67.31815
2000,1,13,23.88888888888889,23.88888888888889,5.08,23.88888888888889,0.508,81.7892
2000,1,14,23.88888888888889,23.88888888888889,2.54,23.88888888888889,0.254,76.71545
2000,1,15,23.61111111111111,23.61111111111111,6.35,23.61111111111111,0.635,75.7154
2000,1,16,22.22222222222222,22.22222222222222,0.7619999999999999,22.22222222222222,0.07619999999999999,69.80454999999999
2000,1,17,22.5,22.5,0.508,22.5,0.0508,66.13215
2000,1,18,21.944444444444446,21.944444444444446,0.0,21.944444444444446,0.0,72.8863
2000,1,19,21.944444444444446,21.944444444444446,0.0,21.944444444444446,0.0,69.0902
2000,1,20,21.666666666666668,21.666666666666668,0.0,21.666666666666668,0.0,72.7411
2000,1,21,22.5,22.5,0.0,22.5,0.0,74.48325
2000,1,22,24.166666666666668,24.166666666666668,0.0,24.166666666666668,0.0,76.2319
2000,1,23,24.444444444444446,24.444444444444446,1.5239999999999998,24.444444444444446,0.15239999999999998,80.26895
2000,1,24,24.444444444444446,24.444444444444446,0.508,24.444444444444446,0.0508,75.98995
2000,1,25,25.0,25.0,0.254,25.0,0.0254,75.0135
2000,1,26,25.833333333333336,25.833333333333336,0.0,25.833333333333336,0.0,69.350205
2000,1,27,25.833333333333336,25.833333333333336,0.0,25.833333333333336,0.0,74.5847
2000,1,28,25.0,25.0,1.27,25.0,0.127,69.67225
2000,1,29,24.166666666666668,24.166666666666668,12.191999999999998,24.166666666666668,1.2191999999999998,75.01575
2000,1,30,24.444444444444446,24.444444444444446,0.254,24.444444444444446,0.0254,70.853
2000,1,31,25.0,25.0,0.0,25.0,0.0,72.794
2000,2,1,25.0,25.0,1.5239999999999998,25.0,0.15239999999999998,77.11275
2000,2,2,25.33333333333333,25.33333333333333,0.0,25.33333333333333,0.0,74.358301
2000,2,3,23.61111111111111,23.61111111111111,1.016,23.61111111111111,0.1016,81.58395
2000,2,4,24.722222222222225,24.722222222222225,0.0,24.722222222222225,0.0,77.71324999999999
2000,2,5,25.833333333333336,25.833333333333336,0.0,25.833333333333336,0.0,78.064
2000,2,6,25.55555555555556,25.55555555555556,0.0,25.55555555555556,0.0,70.59125
2000,2,7,24.722222222222225,24.722222222222225,0.508,24.722222222222225,0.0508,74.25085
2000,2,8,25.0,25.0,1.016,25.0,0.1016,76.01605
2000,2,9,25.80555555555556,25.80555555555556,0.0,25.80555555555556,0.0,73.12167099999999
2000,2,10,25.27777777777778,25.27777777777778,0.0,25.27777777777778,0.0,72.20145
2000,2,11,24.972222222222225,24.972222222222225,0.0,24.972222222222225,0.0,76.968347
2000,2,12,25.55555555555556,25.55555555555556,0.0,25.55555555555556,0.0,74.0937
2000,2,13,24.722222222222225,24.722222222222225,1.27,24.722222222222225,0.127,72.97030000000001
2000,2,14,25.0,25.0,1.5239999999999998,25.0,0.15239999999999998,74.9706
2000,2,15,25.27777777777778,25.27777777777778,1.016,25.27777777777778,0.1016,70.9544325
2000,2,16,24.722222222222225,24.722222222222225,1.016,24.722222222222225,0.1016,72.80445
2000,2,17,24.166666666666668,24.166666666666668,0.0,24.166666666666668,0.0,71.74895000000001
2000,2,18,24.722222222222225,24.722222222222225,0.508,24.722222222222225,0.0508,73.80015
2000,2,19,24.444444444444446,24.444444444444446,0.508,24.444444444444446,0.0508,73.15825
2000,2,20,24.722222222222225,24.722222222222225,0.0,24.722222222222225,0.0,69.98355000000001
2000,2,21,24.722222222222225,24.722222222222225,0.254,24.722222222222225,0.0254,74.52785
2000,2,22,24.722222222222225,24.722222222222225,10.668,24.722222222222225,1.0668,81.88365
2000,2,29,22.5,22.5,0.0,22.5,0.0,72.9980227633237
2000,3,1,23.61111111111111,23.61111111111111,0.0,23.61111111111111,0.0,64.67495
2000,3,2,22.77777777777778,22.77777777777778,0.0,22.77777777777778,0.0,62.5901
2000,3,3,23.88888888888889,23.88888888888889,0.0,23.88888888888889,0.0,57.1859
2000,3,4,24.444444444444446,24.444444444444446,0.0,24.444444444444446,0.0,57.26219999999999
2000,3,5,24.444444444444446,24.444444444444446,0.0,24.444444444444446,0.0,72.452
2000,3,6,24.166666666666668,24.166666666666668,0.0,24.166666666666668,0.0,72.75505
2000,3,7,25.55555555555556,25.55555555555556,0.0,25.55555555555556,0.0,66.8365
2000,3,8,25.27777777777778,25.27777777777778,0.0,25.27777777777778,0.0,55.05015
2000,3,9,24.722222222222225,24.722222222222225,0.7619999999999999,24.722222222222225,0.07619999999999999,61.68155
2000,3,10,24.444444444444446,24.444444444444446,0.0,24.444444444444446,0.0,62.70465
2000,3,11,25.27777777777778,25.27777777777778,0.0,25.27777777777778,0.0,58.5282
2000,3,12,25.27777777777778,25.27777777777778,0.0,25.27777777777778,0.0,66.6743
2000,3,13,24.722222222222225,24.722222222222225,0.0,24.722222222222225,0.0,68.72425
2000,3,14,25.0,25.0,0.0,25.0,0.0,66.49765000000001
2000,3,15,25.27777777777778,25.27777777777778,1.5239999999999998,25.27777777777778,0.15239999999999998,70.129
2000,3,16,25.55555555555556,25.55555555555556,0.0,25.55555555555556,0.0,67.3233
2000,3,17,24.722222222222225,24.722222222222225,2.032,24.722222222222225,0.2032,76.38615
2000,3,18,24.722222222222225,24.722222222222225,0.0,24.722222222222225,0.0,71.9863
2000,3,19,23.61111111111111,23.61111111111111,0.0,23.61111111111111,0.0,67.1541
2000,3,20,23.333333333333336,23.333333333333336,0.0,23.333333333333336,0.0,68.39855
2000,3,21,24.166666666666668,24.166666666666668,0.7619999999999999,24.166666666666668,0.07619999999999999,67.3546
2000,3,22,24.444444444444446,24.444444444444446,0.508,24.444444444444446,0.0508,67.56765
2000,3,23,23.88888888888889,23.88888888888889,0.7619999999999999,23.88888888888889,0.07619999999999999,71.47964999999999
2000,3,24,24.166666666666668,24.166666666666668,1.016,24.166666666666668,0.1016,69.95525
2000,3,25,24.722222222222225,24.722222222222225,0.0,24.722222222222225,0.0,62.25255
2000,3,26,23.88888888888889,23.88888888888889,0.0,23.88888888888889,0.0,70.21640000000001
2000,3,27,24.722222222222225,24.722222222222225,0.0,24.722222222222225,0.0,68.51894999999999
2000,3,28,25.0,25.0,8.382,25.0,0.8382,77.4801
2000,3,29,26.38888888888889,26.38888888888889,4.064,26.38888888888889,0.4064,76.78535
2000,3,30,26.666666666666668,26.666666666666668,0.0,26.666666666666668,0.0,73.5282
2000,3,31,26.666666666666668,26.666666666666668,0.0,26.666666666666668,0.0,71.2921
2000,4,1,25.55555555555556,25.55555555555556,0.0,25.55555555555556,0.0,70.1131
2000,4,2,25.0,25.0,0.0,25.0,0.0,77.3132
2000,4,3,25.27777777777778,25.27777777777778,0.7619999999999999,25.27777777777778,0.07619999999999999,69.94105
2000,4,4,23.88888888888889,23.88888888888889,5.334,23.88888888888889,0.5334,71.8533
2000,4,5,25.55555555555556,25.55555555555556,0.0,25.55555555555556,0.0,68.99655
2000,4,6,25.0,25.0,0.0,25.0,0.0,78.3941
2000,4,7,26.38888888888889,26.38888888888889,0.0,26.38888888888889,0.0,76.85785000000001
2000,4,8,25.833333333333336,25.833333333333336,1.016,25.833333333333336,0.1016,74.69165000000001
2000,4,9,26.944444444444446,26.944444444444446,0.0,26.944444444444446,0.0,67.87305
2000,4,10,26.38888888888889,26.38888888888889,0.0,26.38888888888889,0.0,70.67435
2000,4,11,26.38888888888889,26.38888888888889,0.254,26.38888888888889,0.0254,70.25145
2000,4,12,26.11111111111111,26.11111111111111,1.778,26.11111111111111,0.1778,73.5812
2000,4,13,26.666666666666668,26.666666666666668,0.508,26.666666666666668,0.0508,69.38405
2000,4,14,25.55555555555556,25.55555555555556,4.3180000000000005,25.55555555555556,0.4318000000000001,74.41544999999999
2000,4,15,26.11111111111111,26.11111111111111,0.254,26.11111111111111,0.0254,65.73835
